"","Sample","X","Y","study"
"109","mi32",0.0692930739540602,0.0828982704889559,"Kaitany et al 2001"
"110","mi33",0.0488397963876096,0.255059462889201,"Kaitany et al 2001"
"111","mi34",-0.00696672678420609,0.120660674017414,"Kaitany et al 2001"
"112","mi35",0.12934413334719,0.238741417589488,"Kaitany et al 2001"
"113","mi36",0.12934413334719,0.238741417589488,"Kaitany et al 2001"
"114","mi37",0.12934413334719,0.238741417589489,"Kaitany et al 2001"
"115","mi38",0.10383362701989,0.219819072091948,"Kaitany et al 2001"
"116","mi39",0.151561105191634,0.315759181197809,"Kaitany et al 2001"
"117","mi4",0.578162790330794,0.0377859947670235,"Kaitany et al 2001"
"118","mi40",0.117847632315063,0.451576841789869,"Kaitany et al 2001"
"119","mi41",0.136265177571148,0.245808903497258,"Kaitany et al 2001"
"120","mi42",-0.0540095235752396,0.137065344135555,"Kaitany et al 2001"
"121","mi43",-0.170230846931615,-0.177967664803214,"Kaitany et al 2001"
"122","mi44",-0.0198434079841783,0.265494958349351,"Kaitany et al 2001"
"123","mi45",-0.0198434079841783,0.265494958349351,"Kaitany et al 2001"
"124","mi46",0.0346375178741478,0.172642303506467,"Kaitany et al 2001"
"125","mi47",0.0297034064516749,0.167705249722391,"Kaitany et al 2001"
"126","mi48",0.0297034064516749,0.167705249722391,"Kaitany et al 2001"
"127","mi49",0.0649388617278216,0.297195720485468,"Kaitany et al 2001"
"128","mi5",0.578162790330794,0.0377859947670235,"Kaitany et al 2001"
"129","mi50",0.0649388617278217,0.297195720485468,"Kaitany et al 2001"
"130","mi51",0.0168976648195811,0.364182408170389,"Kaitany et al 2001"
"131","mi52",0.0361115026740758,0.428660809007627,"Kaitany et al 2001"
"132","mi53",-0.0721837745964581,0.0565345527802532,"Kaitany et al 2001"
"133","mi54",-0.0441096890688292,0.10305743557503,"Kaitany et al 2001"
"134","mi55",-0.0849971063171892,0.228376168129561,"Kaitany et al 2001"
"135","mi56",-0.0226590859827055,0.226142769124518,"Kaitany et al 2001"
"136","mi57",-0.153510720636533,0.161781539115495,"Kaitany et al 2001"
"137","mi58",-0.115095664770825,0.0475834833412683,"Kaitany et al 2001"
"138","mi59",-0.183713817586627,0.112709496452003,"Kaitany et al 2001"
"139","mi6",0.432501352158323,0.00870061449335268,"Kaitany et al 2001"
"140","mi60",-0.090798078964138,0.15455471608975,"Kaitany et al 2001"
"141","mi61",-0.0608268114489636,0.268443778063378,"Kaitany et al 2001"
