"","Sample","X","Y"
"MPS17_41","MPS17_41",0.00628074586645716,-0.402256917877415
"MPS17_42","MPS17_42",-0.0541643897762124,-0.0299005117455243
"MPS17_43","MPS17_43",-0.116800830049253,-0.191332580335249
"MPS17_44","MPS17_44",-0.176065529894415,0.138091879493145
"MPS17_45","MPS17_45",-0.18929615021325,-0.0634631989721089
"MPS17_46","MPS17_46",-0.240579555062449,0.0336796084003497
"MPS17_47","MPS17_47",-0.288928491713524,-0.0139071054159608
"MPS17_48","MPS17_48",-0.0722281340706496,0.0281162930538171
"MPS17_51","MPS17_51",-0.0730498675359044,-0.342681337367496
"MPS17_54","MPS17_54",-0.0922467930975896,-0.0940227239068527
"MPS17_55","MPS17_55",0.0712613769667522,-0.284018091953305
"MPS17_57","MPS17_57",0.0303952090767583,-0.317208279041238
"MPS17_65","MPS17_65",-0.172467648486355,-0.157858321388489
"MPS17_66","MPS17_66",-0.0730498675359045,-0.342681337367496
"MPS17_67","MPS17_67",-0.127041921549009,-0.242611912536523
"MPS17_68","MPS17_68",-0.0609926453620962,-0.288967378469767
"MPS17_69","MPS17_69",-0.162510469448949,-0.140537486515153
"MPS17_70","MPS17_70",-0.101771201218427,-0.111094791958976
"MPS17_71","MPS17_71",-0.0922467930975896,-0.0940227239068527
"MPS17_72","MPS17_72",-0.127041921549009,-0.242611912536523
"MPS17_73","MPS17_73",-0.127041921549009,-0.242611912536523
"MPS17_77","MPS17_77",0.0763921110739563,-0.143538127267264
"MPS17_78","MPS17_78",0.184350127092556,-0.173966427766184
"MPS17_80","MPS17_80",0.0964766237236797,-0.06365288993205
"MPS17_81","MPS17_81",-0.0959584050140938,-0.117656089775977
"MPS17_82","MPS17_82",-0.0730498675359044,-0.342681337367496
"MPS17_83","MPS17_83",-0.106179564048995,-0.175081625667603
"MPS17_84","MPS17_84",-0.211165306522203,0.0157934541352256
"MPS17_85","MPS17_85",-0.0504460439814579,-0.272394893239738
"MPS17_86","MPS17_86",-0.180452499665521,-0.0490001038520624
"MPS17_87","MPS17_87",-0.199194503156593,-0.0868047324160949
"MPS17_88","MPS17_88",-0.142630268282303,0.00288922907612406
"MPS17_89","MPS17_89",-0.134014974085379,0.016778627320623
"MPS17_90","MPS17_90",-0.176065529894415,0.138091879493145
"MPS17_91","MPS17_91",-0.148655504542303,0.0906591402715435
"MPS17_92","MPS17_92",-0.136635575526034,0.0304120270337269
"MPS17_93","MPS17_93",-0.0978064255033636,-0.0330084700027934
"MPS17_94","MPS17_94",-0.178669764351819,-0.0504510311619073
"MPS17_95","MPS17_95",-0.211165306522203,0.0157934541352256
"MPS17_96","MPS17_96",-0.229842043928837,-0.0169819314263881
"MPS17_97","MPS17_97",-0.176065529894415,0.138091879493145
"MPS17_98","MPS17_98",-0.198957599880934,-0.0841210597664939
"MPS17_99","MPS17_99",-0.162510469448949,-0.140537486515153
"mi1","mi1",0.0675547124714648,-0.326137959005167
"mi10","mi10",0.499328694135208,-0.0622574035606235
"mi11","mi11",0.499328694135208,-0.0622574035606235
"mi12","mi12",0.499328694135208,-0.0622574035606234
"mi13","mi13",0.441342527607291,0.144497159174747
"mi14","mi14",0.360613256403336,-0.0459971427033837
"mi15","mi15",0.36200114659932,0.26748421317519
"mi16","mi16",0.335977821092863,0.256224355573811
"mi17","mi17",0.339381421254343,0.256371971036918
"mi18","mi18",0.339381421254343,0.256371971036918
"mi19","mi19",0.0506800342984043,-0.260581830710673
"mi2","mi2",0.578162790330795,0.0377859947670233
"mi20","mi20",0.272192243759578,0.0364219651046769
"mi21","mi21",0.237337773636148,-0.0294806313971803
"mi22","mi22",-0.0282011776002795,-0.193756222945442
"mi23","mi23",-0.0124732152665122,-0.13187656533985
"mi24","mi24",0.19858372062638,0.157270572346115
"mi25","mi25",0.19858372062638,0.157270572346115
"mi26","mi26",0.21297309566769,0.177228083167619
"mi27","mi27",-0.014345659325447,0.163284509950552
"mi28","mi28",0.0286661739017107,0.0108683514780028
"mi29","mi29",-0.00321972951095053,0.30243560242998
"mi3","mi3",0.578162790330795,0.0377859947670235
"mi30","mi30",0.0602232962294284,0.521291648779749
"mi31","mi31",-0.0458753183723055,-0.0932053753444334
"mi32","mi32",0.0692930739540602,0.0828982704889559
"mi33","mi33",0.0488397963876096,0.255059462889201
"mi34","mi34",-0.00696672678420609,0.120660674017414
"mi35","mi35",0.12934413334719,0.238741417589488
"mi36","mi36",0.12934413334719,0.238741417589488
"mi37","mi37",0.12934413334719,0.238741417589489
"mi38","mi38",0.10383362701989,0.219819072091948
"mi39","mi39",0.151561105191634,0.315759181197809
"mi4","mi4",0.578162790330794,0.0377859947670235
"mi40","mi40",0.117847632315063,0.451576841789869
"mi41","mi41",0.136265177571148,0.245808903497258
"mi42","mi42",-0.0540095235752396,0.137065344135555
"mi43","mi43",-0.170230846931615,-0.177967664803214
"mi44","mi44",-0.0198434079841783,0.265494958349351
"mi45","mi45",-0.0198434079841783,0.265494958349351
"mi46","mi46",0.0346375178741478,0.172642303506467
"mi47","mi47",0.0297034064516749,0.167705249722391
"mi48","mi48",0.0297034064516749,0.167705249722391
"mi49","mi49",0.0649388617278216,0.297195720485468
"mi5","mi5",0.578162790330794,0.0377859947670235
"mi50","mi50",0.0649388617278217,0.297195720485468
"mi51","mi51",0.0168976648195811,0.364182408170389
"mi52","mi52",0.0361115026740758,0.428660809007627
"mi53","mi53",-0.0721837745964581,0.0565345527802532
"mi54","mi54",-0.0441096890688292,0.10305743557503
"mi55","mi55",-0.0849971063171892,0.228376168129561
"mi56","mi56",-0.0226590859827055,0.226142769124518
"mi57","mi57",-0.153510720636533,0.161781539115495
"mi58","mi58",-0.115095664770825,0.0475834833412683
"mi59","mi59",-0.183713817586627,0.112709496452003
"mi6","mi6",0.432501352158323,0.00870061449335268
"mi60","mi60",-0.090798078964138,0.15455471608975
"mi61","mi61",-0.0608268114489636,0.268443778063378
"mi62","mi62",-0.121318076299021,0.196662042368988
"mi63","mi63",-0.180376487011186,0.197079322735432
"mi64","mi64",-0.180376487011186,0.197079322735432
"mi65","mi65",-0.180376487011186,0.197079322735432
"mi66","mi66",-0.180376487011186,0.197079322735432
"mi67","mi67",-0.180376487011186,0.197079322735432
"mi68","mi68",-0.176065529894415,0.138091879493145
"mi69","mi69",-0.176065529894415,0.138091879493145
"mi7","mi7",0.403394780205003,-0.00420303971414904
"mi70","mi70",0.230474644766154,-0.229945388015518
"mi71","mi71",0.537569732946431,-0.167358682719796
"mi72","mi72",0.537569732946431,-0.167358682719796
"mi73","mi73",0.457324599030181,-0.259795459535476
"mi74","mi74",0.457324599030181,-0.259795459535476
"mi75","mi75",0.13102073748681,-0.369332737924239
"mi76","mi76",0.13102073748681,-0.369332737924239
"mi77","mi77",0.0493866929609682,-0.276097750371242
"mi78","mi78",0.363062933865181,-0.139132775560172
"mi8","mi8",0.404607706610565,-0.0697533132563523
"mi9","mi9",0.499328694135208,-0.0622574035606232
